,221058_071_Sst
10.0,7
20.0,6
30.0,6
40.0,8
50.0,9
60.0,12
70.0,11
80.0,11
90.0,12
100.0,14
110.0,13
120.0,13
130.0,13
140.0,14
150.0,16
160.0,18
170.0,18
180.0,18
190.0,19
200.0,20
210.0,21
220.0,20
230.0,23
240.0,22
250.0,26
260.0,27
270.0,24
280.0,24
290.0,22
300.0,28
310.0,19
320.0,21
330.0,18
340.0,16
350.0,20
360.0,17
370.0,16
380.0,21
390.0,14
400.0,15
410.0,15
420.0,15
430.0,15
440.0,14
450.0,12
460.0,10
470.0,8
480.0,9
490.0,6
500.0,6
510.0,3
520.0,3
530.0,3
540.0,3
550.0,3
560.0,2
570.0,4
580.0,2
590.0,2
600.0,2
610.0,2
620.0,2
630.0,2
640.0,2
650.0,2
660.0,2
670.0,2
680.0,2
690.0,2
700.0,2
710.0,2
720.0,1
730.0,5
740.0,5
750.0,1
760.0,1
770.0,1
780.0,1
790.0,1
